sent0,sent1,label
Bats can fly perfectly.,Bats can ride bicycles.,1
Water can be hot or cold.,Water can only be cold.,1
There are lots of fish in the sea.,There are lots of fish in the sky.,1
the ice cream stays cold in the freeze.,the ice cream stays cold in the microwave.,1
Most people sit quietly on the bus.,every people sit quietly on a bus.,1
he gave his dresses to wash in the laundry room.,he gave his dresses to wash in the study room.,1
Fruits and vegetables provide toxins.,Fruits and vegetables provide nutrients.,0
mailmen deliver mail.,mailmen deliver babies.,1
Tutors can help you learn.,Fish can help you learn.,1
They write their exam by a water bottle..,They write their exam by pen.,0
When people are hungry they drink water and do not eat food.,People eat food when they are hungry.,0
he kept the ice cream in the oven.,he kept the ice cream in the fridge.,0
people usually walk forward.,people usually walk backward.,1
Insects eat men.,Insects eat insects.,0
An ant is a type of insect.,All insects are ants.,1
bananas grow on trees.,bananas grow on the ground.,1
athletes are slow.,athletes are fast.,0
He smokes Cigarettes in his house.,He smokes Cigarettes in a gas station.,1
Canada is a country in Antarctica.,Canada is a country in North America.,0
Sara bought a new pet.,The dog bought a new pet.,1
dogs are very social animals who prefer life in a pack to a solitary existence.,dogs are very social animals who prefer a solitary existence to live in a pack.,1
donkeys walk on two legs.,donkeys walk on four legs.,0
To get to the top of the building you may use an elevator.,To get to the top of the building you must use an elevator.,1
orange juice tastes like orange.,Water tastes like orange juice.,1
the briefcase is stored in some documents.,a briefcase can be used for storing documents.,0
Children love to play the game..,Children do not like playtime.,1
Arguments are to be avoided.,Arguments are something to be striven for.,1
A sharp object can tear your trousers if you come in contact with it.,A ball can tear your trousers if you come in contact with it.,1
The public library has lots of books.,The public library has lots of fish and birds.,1
Popsicles are frozen treats.,Popsicles are made of cotton.,1
you should pull on the brake to stop your bike.,you should pull on the brake to accelerate your bike.,1
The snake plays basketball.,Derek plays basketball for a team.,0
Something you find under a desk is the floor.,Something you find under a desk is the ceiling fan.,1
Dogs eat cats.,Dogs and cats can live together.,0
He washed the sky.,He washed the dishes.,0
He planted a plant in the jar.,He planted a chair in the jar.,1
studying at university is a form of education.,walking to university is a form of education.,1
the doctor sent the prescription pills by e-mail.,the doctor sent the prescription by e-mail.,0
ham is made from a pig.,ham is made from a cat.,1
One morning I shot an elephant in my pajamas.,One morning I shot a fly in my pajamas.,0
She inserts her finger in the lock.,She inserts the key in the lock..,0
The dog pounced on the rabbit.,The cat pounced on the rabbit.,1
I rescued my dog from the shelter.,I rescued my goldfish from the shelter.,1
He ate an entire zebra for lunch.,The zebra ate its lunch.,0
She put sunglasses on her face.,She put a ram in her face.,1
The frog ate a tiger.,The tiger ate a frog.,0
The cat likes to watch alligators.,The cat likes to watch birds.,0
John can kick the ball with his hands.,John can kick the ball with his foot.,0
playing in rain increases the chances to get caught by police.,playing in rain increases the chances to get the fever.,0
The woman's purse was floating above her.,The woman's hung purse off her shoulder.,0
The best car is the spaceships.,a famous car brand is Ford.,0
Eat an apple a day and keep the doctor away.,Eating an apple a day will invite the diseases.,1
Dirty dishes go into the dishwasher.,The dishwasher makes dishes dirty.,1
He punched a hamburger for lunch.,He ate a hamburger for lunch.,0
It's important to do your homework to get good grades.,It's important to skip school to get good grades.,1
Every country has a president.,"To be the president of the country, you have to win the vote.",1
I want ice cream so I buy it.,I want ice cream so I buy an elephant.,1
my android mobile installs games from play store.,my android mobile installs games from the app store.,1
a person with no legs accidentally kicked me in the subway.,a person with no legs accidentally hit me in the subway.,0
A Carpet-layer can lay carpet on floors.,A dog lays carpet on the floor.,1
Jim went to watch a movie at the gym.,Jim went to watch a movie at the theater.,0
he learned with his refrigerator before the exam.,he learned with his textbooks before the exam.,0
The world has the same time zones.,There are different time zones around the world..,0
Some people like to put a scarf around their necks.,Some people like to put a scarf around their ears.,1
"IF you need water, get it from the sink.","If you need water, get it from the oven.",1
She checked the bucket for the time.,She turned around to check the time.,0
Skyscrapers are very tall buildings.,Skyscrapers can cause rips in the sky.,1
Chairs are large and heavy machines.,Cars are large and heavy machines.,0
HE EATS THE PIANO.,HE PLAYS WITH PIANO.,0
After sunset sky turns dark.,After sunset sky turns blue.,1
The carpenter Chopped the Woods.,The Carpenter Chopped the Train.,1
Sally taught her students English.,Sally taught her students burglary.,1
She takes the clothes from the washing machine.,He takes the house from the washing machine.,1
A couple sat on a rock to watch the sunset.,A couple sat on the water to watch the sunset.,1
The watermelon ate the kids.,The kids ate watermelon.,0
I use cotton to make big mussels body.,I use dumbbells to make big mussels body.,0
plastic bags can be recycled.,plastic bags are non-recyclable.,1
He parks his car in the closet.,He parks his car in the garage.,0
A liquid becomes a solid when it reaches boiling point.,A liquid becomes a gas when it reaches boiling point.,0
My brother is sick when he travels.,My brother travels when he's sick.,1
a printer makes vehicle oil.,a printer makes prints.,0
he put a woman in his car.,he put a whale in the car.,1
The chicken fights the dog.,The fish fights the dog.,1
he was television at his brother.,he was angry at his brother.,0
The two lions went to the movies.,My girlfriend and I went to the movies.,0
Halloween night is the most ordinary night of the year.,Halloween night is the spookiest night of the year.,0
Eagles are a type of fish.,Eagles are a kind of bird.,0
Water drinks people.,I drink water.,0
I play catch with a baseball.,I play catch with a boat.,1
things come in dreams may not happen in real life.,everything comes in dreams happens in real life.,1
I take the submarine to work every day.,I take the train to work every day.,0
My TV is floating in mid-air.,My TV is on a black desk.,0
The outcome of getting in line is waiting.,The outcome of cutting in line is waiting.,1
people should study less to get a higher grade in exams.,People should study more to get a higher grade in exams.,0
The supermarket only sells cars.,I shop at the supermarket.,0
blueberries are red.,blueberries are blue.,0
He went to the theater for a medical checkup.,He went to the theater to watch a movie.,0
the stove helps to cool down the house.,the air-conditioning helps to cool down the house.,0
Heating food makes the food balance better on a fork.,Heating food makes the flavors more enhanced.,0
plants convert sugar to a light.,plants convert light to sugar.,0
She put the contact lens into her mouth.,She put the contact lens into her eye.,0
he was dancing on the lake.,he was dancing on the floor.,0
If you sleep for 8 hours you will feel rested.,If you run a marathon for 26 miles you will feel rested.,1
I walked to McDonald to eat lunch.,I walked to the sand factory to eat lunch.,1
moisturizer is good to keep in your pocket or purse for when you have cracked and dry skin.,lipstick is good to keep in your pocket or purse for when you have cracked and dry skin.,1
my friend runs marathons after dinner every day.,my friend jogs around the block after dinner every day.,0
a one-month-old baby put the laundry in the dryer.,mother put the laundry in the dryer.,0
Owls are used to brighten a room.,Lamps are used to brighten a room.,0
